id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
780710678042961800,15comfy and spacious with stunning views,477181521,Sam,,Melbourne,-37.81453,144.95565,Entire home/apt,338,1,88,2024-03-13,6.04,46,112,85,
20446300,cosy townhouse with nature light,145928670,Jie,,Port Phillip,-37.87151,144.98387,Entire home/apt,,1,0,,,1,0,0,
22323709,Central City Apartment in Magnificent Melbourne!,104570891,Tina,,Melbourne,-37.81363,144.9551,Entire home/apt,,3,2,2018-02-01,0.03,1,0,0,
8583907,Large apartment with city views,31490000,Benjamin,,Yarra,-37.83355,144.99768,Entire home/apt,,1,0,,,1,0,0,
23907808,Private studio with single bed,100428794,Connie,,Monash,-37.91815,145.10659,Private room,,1,0,,,1,0,0,
8656155,Room for rent in Thornbury flat,45489433,Emily,,Darebin,-37.75685,145.01064,Private room,,7,0,,,1,0,0,
31908979,Minimalist style room in a quaint home,22100147,Hana,,Darebin,-37.76741,144.98967,Private room,,2,2,2019-02-23,0.03,1,0,0,
12667199,"RUSSELL PLACE  唐人街走路一分钟,CBD正中间",63987626,Chen,,Melbourne,-37.81364,144.96664,Private room,,1,3,2017-07-02,0.04,1,0,0,
874994244547326970,Beautiful Apartment Only 7km to CBD,73679642,Ann Marie,,Maribyrnong,-37.8206204118244,144.8745291489705,Entire home/apt,236,3,21,2024-03-09,2.78,1,250,21,
41306523,假期短租 仅有两周 Burwood阳光好房,263414621,Lin,,Whitehorse,-37.85782,145.14192,Private room,,3,0,,,1,0,0,
38833910,Back yard bar. I'm easy going and friendly,297308878,Ryan,,Casey,-38.13402,145.29279,Private room,,14,0,,,1,0,0,
1029453914243657184,Cozy Apartment in Yarraville,399681805,Valeria,,Maribyrnong,-37.813832274511164,144.88285988642076,Entire home/apt,,1,1,2023-12-09,0.30,2,0,1,
39189253,Two months stay in Melbourne between Dec and Jan,2487984,Prashant,,Whitehorse,-37.81944,145.14688,Entire home/apt,,30,0,,,1,0,0,
771203256412457278,A place to find the peace,489645813,Kirti,,Monash,-37.92449,145.19278,Private room,,30,2,2023-06-11,0.17,1,357,2,
899436159734663663,"Convenience, New & Comfy",516574596,Lucy,,Manningham,-37.7584003,145.1302445,Entire home/apt,,1,1,2023-07-14,0.12,1,0,1,
1101042681211335737,Brunswick Guest Room,8964359,Guy,,Moreland,-37.75858,144.96584,Private room,73,6,0,,,2,119,0,
970443123926813277,A budget partitioned space,2255480,Jessica,,Boroondara,-37.7946402412895,145.08028127253056,Private room,40,1,22,2024-03-06,3.86,9,236,22,
901290277099813320,Four-Bedroom Valley Escape,432784673,Roger,,Yarra Ranges,-37.75383,145.36318,Private room,430,1,6,2024-03-01,0.71,7,11,6,
50093519,Retreat Hills Bayswater,365015584,Yana,,Knox,-37.84858,145.26415,Entire home/apt,168,4,27,2024-01-14,0.92,1,301,5,
932352598465415006,Central of the West,128652825,Giang,,Brimbank,-37.78936988202512,144.84541073786204,Entire home/apt,525,1,3,2023-08-07,0.38,1,363,3,
9080459,Unique location/4 km from the city,3655971,Darren,,Stonnington,-37.83924,145.00207,Private room,,1,3,2018-10-29,0.03,1,0,0,
